Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_temperature__abs2.85449, zfp_abs__2.85449, 0.838867, 0.000290387, 0.0218228, 138.956, 120.006, 188.756, 2.95908
zfp_temperature__abs5.396, zfp_abs__5.39600, 1.78223, 0.000573475, 0.0873086, 132.935, 124.183, 200.14, 3.26059
zfp_temperature__abs8.17334, zfp_abs__8.17334, 3.51782, 0.00109765, 0.349263, 126.914, 129.035, 211.327, 3.63049
zfp_temperature__abs10.7725, zfp_abs__10.7725, 3.51782, 0.00109765, 0.349263, 126.914, 128.777, 211.728, 3.63049
zfp_temperature__abs12.7065, zfp_abs__12.7065, 3.51782, 0.00109765, 0.349263, 126.914, 129.018, 210.532, 3.63049
zfp_temperature__abs14.8223, zfp_abs__14.8223, 3.51782, 0.00109765, 0.349263, 126.914, 128.268, 210.452, 3.63049
zfp_temperature__abs18.8945, zfp_abs__18.8945, 6.375, 0.00234584, 1.3967, 120.894, 134.147, 222.685, 4.095
zfp_temperature__abs21.3691, zfp_abs__21.3691, 6.375, 0.00234584, 1.3967, 120.894, 133.861, 224.632, 4.095
zfp_temperature__abs25.0005, zfp_abs__25.0005, 6.375, 0.00234584, 1.3967, 120.894, 134.142, 221.059, 4.095
zfp_temperature__abs29.2104, zfp_abs__29.2104, 6.375, 0.00234584, 1.3967, 120.894, 133.9, 216.499, 4.095
zfp_temperature__abs50.6729, zfp_abs__50.6729, 12.8896, 0.00440776, 5.5874, 114.873, 139.79, 227.491, 4.69566
zfp_temperature__abs77.3667, zfp_abs__77.3667, 27.0928, 0.00990768, 22.3255, 108.857, 145.981, 236.359, 5.50158
zfp_temperature__abs105.853, zfp_abs__105.853, 27.0928, 0.00990768, 22.3255, 108.857, 146.253, 232.533, 5.50158
zfp_temperature__abs134.604, zfp_abs__134.604, 55.2417, 0.0188008, 88.4369, 102.879, 153.672, 248.658, 6.6398
zfp_temperature__abs159.592, zfp_abs__159.592, 55.2417, 0.0188008, 88.4369, 102.879, 152.828, 247.382, 6.6398
zfp_temperature__abs178.649, zfp_abs__178.649, 55.2417, 0.0188008, 88.4369, 102.879, 152.888, 247.913, 6.6398
zfp_temperature__abs202.771, zfp_abs__202.771, 55.2417, 0.0188008, 88.4369, 102.879, 152.771, 247.404, 6.6398
zfp_temperature__abs247.76, zfp_abs__247.760, 55.2417, 0.0188008, 88.4369, 102.879, 152.782, 247.585, 6.6398
zfp_temperature__abs276.153, zfp_abs__276.153, 108.34, 0.0307501, 337.645, 97.0607, 143.139, 272.701, 8.35615
zfp_temperature__abs516.683, zfp_abs__516.683, 211.626, 0.0796481, 1182.96, 91.6156, 178.175, 310.129, 11.1763
zfp_temperature__abs805.253, zfp_abs__805.253, 211.626, 0.0796481, 1182.96, 91.6156, 177.909, 310.35, 11.1763
zfp_temperature__abs1037.16, zfp_abs__1037.16, 405.59, 0.117936, 3729.08, 86.6293, 197.207, 361.745, 15.9345
zfp_temperature__abs1298.79, zfp_abs__1298.79, 405.59, 0.117936, 3729.08, 86.6293, 197.14, 361.295, 15.9345
zfp_temperature__abs1491.37, zfp_abs__1491.37, 405.59, 0.117936, 3729.08, 86.6293, 197.143, 361.619, 15.9345
zfp_temperature__abs1818.22, zfp_abs__1818.22, 405.59, 0.117936, 3729.08, 86.6293, 197.226, 360.401, 15.9345
zfp_temperature__abs2010.56, zfp_abs__2010.56, 405.59, 0.117936, 3729.08, 86.6293, 197.191, 360.746, 15.9345
zfp_temperature__abs2474.03, zfp_abs__2474.03, 842.38, 0.216718, 10852.8, 81.9899, 220.335, 421.376, 23.4517
zfp_temperature__abs2510.36, zfp_abs__2510.36, 842.38, 0.216718, 10852.8, 81.9899, 219.947, 422.969, 23.4517
zfp_temperature__abs5074.82, zfp_abs__5074.82, 1773.1, 0.409907, 30132.3, 77.555, 247.163, 488.935, 34.096
zfp_temperature__abs7285.65, zfp_abs__7285.65, 1773.1, 0.409907, 30132.3, 77.555, 245.742, 489.721, 34.096
zfp_temperature__abs9538.6, zfp_abs__9538.60, 3354.28, 0.793648, 80270.3, 73.2997, 277.784, 557.304, 48.8981
zfp_temperature__abs13916.4, zfp_abs__13916.4, 3354.28, 0.793648, 80270.3, 73.2997, 277.785, 557.088, 48.8981
zfp_temperature__abs15074.4, zfp_abs__15074.4, 3354.28, 0.793648, 80270.3, 73.2997, 277.637, 557.176, 48.8981
zfp_temperature__abs15498.6, zfp_abs__15498.6, 3354.28, 0.793648, 80270.3, 73.2997, 277.693, 551.14, 48.8981
zfp_temperature__abs18728.9, zfp_abs__18728.9, 7198.72, 1.47472, 205844, 69.2099, 313.404, 622.313, 66.6653
zfp_temperature__abs21474, zfp_abs__21474.0, 7198.72, 1.47472, 205844, 69.2099, 312.75, 621.541, 66.6653
