Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_baryon_density__abs0.0635493, zfp_abs__0.0635493, 0.0261147, 0.0261147, 1.84311e-05, 136.568, 137.767, 319.588, 9.18643
zfp_baryon_density__abs0.115632, zfp_abs__0.1156320, 0.0261147, 0.0261147, 1.84311e-05, 136.568, 170.871, 317.218, 9.18643
zfp_baryon_density__abs0.154887, zfp_abs__0.1548870, 0.0495207, 0.0492199, 6.2421e-05, 131.27, 186.878, 362.556, 12.2863
zfp_baryon_density__abs0.238162, zfp_abs__0.2381620, 0.0495207, 0.0492199, 6.2421e-05, 131.27, 187.232, 367.603, 12.2863
zfp_baryon_density__abs0.286456, zfp_abs__0.2864560, 0.101682, 0.095152, 0.000198408, 126.248, 207.3, 426.592, 16.9953
zfp_baryon_density__abs0.349371, zfp_abs__0.3493710, 0.101682, 0.095152, 0.000198408, 126.248, 207.407, 427.203, 16.9953
zfp_baryon_density__abs0.42655, zfp_abs__0.4265500, 0.101682, 0.095152, 0.000198408, 126.248, 206.388, 429.047, 16.9953
zfp_baryon_density__abs0.474902, zfp_abs__0.4749020, 0.101682, 0.095152, 0.000198408, 126.248, 206.693, 419.067, 16.9953
zfp_baryon_density__abs0.507291, zfp_abs__0.5072910, 0.189929, 0.186037, 0.000602183, 121.426, 229.272, 505.527, 23.916
zfp_baryon_density__abs0.553213, zfp_abs__0.5532130, 0.189929, 0.186037, 0.000602183, 121.426, 229.948, 499.383, 23.916
zfp_baryon_density__abs1.1748, zfp_abs__1.1748000, 0.389911, 0.389911, 0.00175621, 116.778, 257.495, 588.504, 33.8488
zfp_baryon_density__abs1.7233, zfp_abs__1.7233000, 0.389911, 0.389911, 0.00175621, 116.778, 257.652, 589.132, 33.8488
zfp_baryon_density__abs2.0978, zfp_abs__2.0978000, 0.83643, 0.715438, 0.00489835, 112.323, 291.018, 679.017, 47.6119
zfp_baryon_density__abs2.7091, zfp_abs__2.7091000, 0.83643, 0.715438, 0.00489835, 112.323, 291.47, 684.425, 47.6119
zfp_baryon_density__abs3.3248, zfp_abs__3.3248000, 0.83643, 0.715438, 0.00489835, 112.323, 290.21, 683.326, 47.6119
zfp_baryon_density__abs3.6894, zfp_abs__3.6894000, 0.83643, 0.715438, 0.00489835, 112.323, 291.109, 682.991, 47.6119
zfp_baryon_density__abs4.1368, zfp_abs__4.1368000, 1.56745, 1.34919, 0.0131247, 108.043, 302.527, 790.804, 65.4208
zfp_baryon_density__abs4.5293, zfp_abs__4.5293000, 1.56745, 1.34919, 0.0131247, 108.043, 330.028, 783.361, 65.4208
zfp_baryon_density__abs5.4078, zfp_abs__5.4078000, 1.56745, 1.34919, 0.0131247, 108.043, 330.428, 781.204, 65.4208
zfp_baryon_density__abs9.1921, zfp_abs__9.1921000, 3.24166, 2.71293, 0.0334824, 103.975, 376.781, 870.724, 86.8042
zfp_baryon_density__abs15.469, zfp_abs__15.469000, 3.24166, 2.71293, 0.0334824, 103.975, 375.15, 872.538, 86.8042
zfp_baryon_density__abs18.885, zfp_abs__18.885000, 7.00161, 5.6011, 0.0857761, 99.89, 434.177, 946.114, 111.189
zfp_baryon_density__abs23.109, zfp_abs__23.109000, 7.00161, 5.6011, 0.0857761, 99.89, 435.654, 939.492, 111.189
zfp_baryon_density__abs24.373, zfp_abs__24.373000, 7.00161, 5.6011, 0.0857761, 99.89, 434.952, 942.732, 111.189
zfp_baryon_density__abs32.886, zfp_abs__32.886000, 14.6316, 9.49962, 0.238211, 95.454, 502.896, 1001.28, 142.939
zfp_baryon_density__abs34.953, zfp_abs__34.953000, 14.6316, 9.49962, 0.238211, 95.454, 508.932, 1001.96, 142.939
zfp_baryon_density__abs43.364, zfp_abs__43.364000, 14.6316, 9.49962, 0.238211, 95.454, 510.733, 999.631, 142.939
zfp_baryon_density__abs47.293, zfp_abs__47.293000, 14.6316, 9.49962, 0.238211, 95.454, 510.262, 1000.1, 142.939
zfp_baryon_density__abs82.96, zfp_abs__82.960000, 26.4385, 20.0552, 0.582291, 91.5722, 637.718, 1108.92, 204.841
zfp_baryon_density__abs188, zfp_abs__188.00000, 53.3824, 36.0232, 1.16575, 88.5576, 871.91, 1384.79, 357.635
zfp_baryon_density__abs144.84, zfp_abs__144.84000, 53.3824, 36.0232, 1.16575, 88.5576, 872.574, 1375.48, 357.635
zfp_baryon_density__abs162.57, zfp_abs__162.57000, 53.3824, 36.0232, 1.16575, 88.5576, 854.75, 1371.12, 357.635
zfp_baryon_density__abs205.12, zfp_abs__205.12000, 53.3824, 36.0232, 1.16575, 88.5576, 863.438, 1385.14, 357.635
zfp_baryon_density__abs277.87, zfp_abs__277.87000, 108.025, 60.6788, 2.05712, 86.091, 1181.58, 1678.67, 661.249
zfp_baryon_density__abs302.79, zfp_abs__302.79000, 108.025, 60.6788, 2.05712, 86.091, 1187.51, 1687.12, 661.249
zfp_baryon_density__abs321.16, zfp_abs__321.16000, 108.025, 60.6788, 2.05712, 86.091, 1185.08, 1673.99, 661.249
