Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_dark_matter_density__abs0.0117196, zfp_abs__0.0117196, 0.00333786, 0.00333786, 3.33038e-07, 139.507, 136.283, 209.833, 3.05457
zfp_dark_matter_density__abs0.0223937, zfp_abs__0.0223937, 0.00649318, 0.00649318, 1.33214e-06, 133.486, 152.683, 219.854, 3.37696
zfp_dark_matter_density__abs0.0354572, zfp_abs__0.0354572, 0.0127549, 0.0127549, 5.3286e-06, 127.465, 159.808, 235.393, 3.77526
zfp_dark_matter_density__abs0.0430357, zfp_abs__0.0430357, 0.0127549, 0.0127549, 5.3286e-06, 127.465, 156.723, 235.554, 3.77526
zfp_dark_matter_density__abs0.0597188, zfp_abs__0.0597188, 0.0127549, 0.0127549, 5.3286e-06, 127.465, 159.726, 236.143, 3.77526
zfp_dark_matter_density__abs0.0650566, zfp_abs__0.0650566, 0.0254558, 0.0254558, 2.13143e-05, 121.445, 167.754, 252.784, 4.28044
zfp_dark_matter_density__abs0.0720114, zfp_abs__0.0720114, 0.0254558, 0.0254558, 2.13143e-05, 121.445, 168.465, 250.642, 4.28044
zfp_dark_matter_density__abs0.0919673, zfp_abs__0.0919673, 0.0254558, 0.0254558, 2.13143e-05, 121.445, 167.808, 248.434, 4.28044
zfp_dark_matter_density__abs0.0941055, zfp_abs__0.0941055, 0.0254558, 0.0254558, 2.13143e-05, 121.445, 168.14, 250.592, 4.28044
zfp_dark_matter_density__abs0.116476, zfp_abs__0.1164760, 0.0254558, 0.0254558, 2.13143e-05, 121.445, 168.044, 251.001, 4.28044
zfp_dark_matter_density__abs0.207773, zfp_abs__0.2077730, 0.0522617, 0.0522617, 8.52487e-05, 115.425, 176.491, 269.083, 4.94047
zfp_dark_matter_density__abs0.308419, zfp_abs__0.3084190, 0.10211, 0.101484, 0.000340889, 109.405, 185.056, 290.482, 5.84351
zfp_dark_matter_density__abs0.433559, zfp_abs__0.4335590, 0.10211, 0.101484, 0.000340889, 109.405, 186.666, 289.836, 5.84351
zfp_dark_matter_density__abs0.538927, zfp_abs__0.5389270, 0.200363, 0.19926, 0.00135367, 103.416, 198.334, 318.78, 7.13814
zfp_dark_matter_density__abs0.684265, zfp_abs__0.6842650, 0.200363, 0.19926, 0.00135367, 103.416, 198.768, 317.984, 7.13814
zfp_dark_matter_density__abs0.79692, zfp_abs__0.7969200, 0.200363, 0.19926, 0.00135367, 103.416, 198.839, 318.653, 7.13814
zfp_dark_matter_density__abs0.861911, zfp_abs__0.8619110, 0.200363, 0.19926, 0.00135367, 103.416, 198.795, 316.151, 7.13814
zfp_dark_matter_density__abs1.10087, zfp_abs__1.1008700, 0.404592, 0.404592, 0.00513499, 97.6261, 214.087, 349.972, 9.18691
zfp_dark_matter_density__abs1.08296, zfp_abs__1.0829600, 0.404592, 0.404592, 0.00513499, 97.6261, 212.918, 350.766, 9.18691
zfp_dark_matter_density__abs2.20074, zfp_abs__2.2007400, 0.824618, 0.824618, 0.0169945, 92.4284, 235.887, 404.848, 12.7045
zfp_dark_matter_density__abs3.00351, zfp_abs__3.0035100, 0.824618, 0.824618, 0.0169945, 92.4284, 236.584, 405.532, 12.7045
zfp_dark_matter_density__abs3.88695, zfp_abs__3.8869500, 0.824618, 0.824618, 0.0169945, 92.4284, 235.485, 407.186, 12.7045
zfp_dark_matter_density__abs5.26882, zfp_abs__5.2688200, 1.89956, 1.55586, 0.0465757, 88.0499, 272.958, 501.363, 20.5851
zfp_dark_matter_density__abs6.28486, zfp_abs__6.2848600, 1.89956, 1.55586, 0.0465757, 88.0499, 272.031, 507.537, 20.5851
zfp_dark_matter_density__abs6.65728, zfp_abs__6.6572800, 1.89956, 1.55586, 0.0465757, 88.0499, 273.556, 508.795, 20.5851
zfp_dark_matter_density__abs8.30412, zfp_abs__8.3041200, 3.8596, 3.32714, 0.111577, 84.2557, 322.109, 662.315, 38.6939
zfp_dark_matter_density__abs8.84143, zfp_abs__8.8414300, 3.8596, 3.32714, 0.111577, 84.2557, 321.997, 662.326, 38.6939
zfp_dark_matter_density__abs10.273, zfp_abs__10.273000, 3.8596, 3.32714, 0.111577, 84.2557, 323.857, 655.885, 38.6939
zfp_dark_matter_density__abs20.5992, zfp_abs__20.599200, 7.97949, 5.81557, 0.259274, 80.5939, 378.306, 783.61, 63.8279
zfp_dark_matter_density__abs29.2395, zfp_abs__29.239500, 7.97949, 5.81557, 0.259274, 80.5939, 378.293, 786.692, 63.8279
zfp_dark_matter_density__abs35.809, zfp_abs__35.809000, 17.348, 12.2546, 0.611846, 76.865, 445.147, 891.78, 95.7847
zfp_dark_matter_density__abs47.224, zfp_abs__47.224000, 17.348, 12.2546, 0.611846, 76.865, 445.44, 891.984, 95.7847
zfp_dark_matter_density__abs57.3609, zfp_abs__57.360900, 17.348, 12.2546, 0.611846, 76.865, 445.209, 897.414, 95.7847
zfp_dark_matter_density__abs58.77, zfp_abs__58.770000, 17.348, 12.2546, 0.611846, 76.865, 446.146, 889.068, 95.7847
zfp_dark_matter_density__abs67.2536, zfp_abs__67.253600, 32.2563, 22.6271, 1.3304, 73.4916, 507.199, 968.56, 135.139
zfp_dark_matter_density__abs80.3423, zfp_abs__80.342300, 32.2563, 22.6271, 1.3304, 73.4916, 530.673, 968.928, 135.139
