Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_velocity_x__abs62, zfp_abs__62.00000, 13.5, 5.48808, 5.59945, 142.061, 92.105, 159.933, 2.20608
zfp_velocity_x__abs133.5, zfp_abs__133.5000, 54.625, 26.7652, 89.4186, 130.028, 109.269, 175.53, 2.5589
zfp_velocity_x__abs214, zfp_abs__214.0000, 54.625, 26.7652, 89.4186, 130.028, 103.261, 176.165, 2.5589
zfp_velocity_x__abs246.75, zfp_abs__246.7500, 54.625, 26.7652, 89.4186, 130.028, 109.538, 175.831, 2.5589
zfp_velocity_x__abs302, zfp_abs__302.0000, 106.75, 43.6873, 357.599, 124.009, 112.762, 184.464, 2.78131
zfp_velocity_x__abs384.75, zfp_abs__384.7500, 106.75, 43.6873, 357.599, 124.009, 112.858, 183.95, 2.78131
zfp_velocity_x__abs432.5, zfp_abs__432.5000, 106.75, 43.6873, 357.599, 124.009, 112.846, 184.358, 2.78131
zfp_velocity_x__abs489.25, zfp_abs__489.2500, 106.75, 43.6873, 357.599, 124.009, 113.037, 183.905, 2.78131
zfp_velocity_x__abs582.875, zfp_abs__582.8750, 216.25, 120.723, 1430.42, 117.988, 116.633, 193.892, 3.04606
zfp_velocity_x__abs619, zfp_abs__619.0000, 216.25, 120.723, 1430.42, 117.988, 116.562, 193.698, 3.04606
zfp_velocity_x__abs1336.5, zfp_abs__1336.500, 415.5, 187.406, 5721.13, 111.968, 120.531, 204.297, 3.36651
zfp_velocity_x__abs1723.5, zfp_abs__1723.500, 415.5, 187.406, 5721.13, 111.968, 120.707, 203.404, 3.36651
zfp_velocity_x__abs2463, zfp_abs__2463.000, 850, 350.283, 22885.5, 105.947, 125.251, 216.526, 3.76231
zfp_velocity_x__abs3002, zfp_abs__3002.000, 850, 350.283, 22885.5, 105.947, 125.319, 216.991, 3.76231
zfp_velocity_x__abs4117.2, zfp_abs__4117.200, 1670, 605.527, 91541.4, 99.9264, 130.101, 229.018, 4.26347
zfp_velocity_x__abs4079.2, zfp_abs__4079.200, 850, 350.283, 22885.5, 105.947, 125.225, 215.93, 3.76231
zfp_velocity_x__abs4566.7, zfp_abs__4566.700, 1670, 605.527, 91541.4, 99.9264, 130.113, 230.488, 4.26347
zfp_velocity_x__abs5759, zfp_abs__5759.000, 1670, 605.527, 91541.4, 99.9264, 130.104, 230.111, 4.26347
zfp_velocity_x__abs6169.75, zfp_abs__6169.750, 1670, 605.527, 91541.4, 99.9264, 129.95, 228.989, 4.26347
zfp_velocity_x__abs11771.8, zfp_abs__11771.80, 3451, 1199.66, 366157, 93.9059, 134.944, 242.316, 4.9184
zfp_velocity_x__abs20659, zfp_abs__20659.00, 6631.25, 3144.44, 1.46192e+06, 87.8934, 141.689, 263.518, 5.80988
zfp_velocity_x__abs30918.1, zfp_abs__30918.10, 6631.25, 3144.44, 1.46192e+06, 87.8934, 141.636, 264.361, 5.80988
zfp_velocity_x__abs30487.8, zfp_abs__30487.80, 6631.25, 3144.44, 1.46192e+06, 87.8934, 141.787, 265.134, 5.80988
zfp_velocity_x__abs38379.6, zfp_abs__38379.60, 14103, 4574.12, 5.76881e+06, 81.9317, 149.843, 289.587, 7.09283
zfp_velocity_x__abs43741, zfp_abs__43741.00, 14103, 4574.12, 5.76881e+06, 81.9317, 149.404, 289.275, 7.09283
zfp_velocity_x__abs51916.5, zfp_abs__51916.50, 14103, 4574.12, 5.76881e+06, 81.9317, 149.761, 289.079, 7.09283
zfp_velocity_x__abs51812.5, zfp_abs__51812.50, 14103, 4574.12, 5.76881e+06, 81.9317, 149.929, 290.128, 7.09283
zfp_velocity_x__abs59622.8, zfp_abs__59622.80, 14103, 4574.12, 5.76881e+06, 81.9317, 127.139, 287.604, 7.09283
zfp_velocity_x__abs123050, zfp_abs__123050.0, 27618, 10859.2, 2.17691e+07, 76.1642, 160.062, 326.256, 9.08068
zfp_velocity_x__abs190752, zfp_abs__190752.0, 56295.6, 23296.2, 7.48303e+07, 70.8018, 174.034, 372.745, 12.4294
zfp_velocity_x__abs251960, zfp_abs__251960.0, 56295.6, 23296.2, 7.48303e+07, 70.8018, 154.088, 378.759, 12.4294
zfp_velocity_x__abs333220, zfp_abs__333220.0, 101103, 26111.2, 2.28011e+08, 65.963, 193.01, 450.736, 18.3436
zfp_velocity_x__abs353371, zfp_abs__353371.0, 101103, 26111.2, 2.28011e+08, 65.963, 193.373, 459.411, 18.3436
zfp_velocity_x__abs419870, zfp_abs__419870.0, 101103, 26111.2, 2.28011e+08, 65.963, 171.62, 452.695, 18.3436
zfp_velocity_x__abs441956, zfp_abs__441956.0, 101103, 26111.2, 2.28011e+08, 65.963, 193.587, 454.201, 18.3436
zfp_velocity_x__abs484265, zfp_abs__484265.0, 101103, 26111.2, 2.28011e+08, 65.963, 193.203, 455.345, 18.3436
