Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_baryon_density__abs0.0635493, zfp_abs__0.0635493, 0.0247184, 0.0245063, 1.9823e-05, 136.252, 173.273, 333.966, 9.19533
zfp_baryon_density__abs0.115632, zfp_abs__0.1156320, 0.0247184, 0.0245063, 1.9823e-05, 136.252, 174.519, 331.836, 9.19533
zfp_baryon_density__abs0.154887, zfp_abs__0.1548870, 0.0491964, 0.048579, 7.30215e-05, 130.589, 189.602, 383.142, 12.247
zfp_baryon_density__abs0.238162, zfp_abs__0.2381620, 0.0491964, 0.048579, 7.30215e-05, 130.589, 189.24, 381.643, 12.247
zfp_baryon_density__abs0.286456, zfp_abs__0.2864560, 0.09976, 0.09976, 0.000261999, 125.041, 160.848, 445.474, 16.88
zfp_baryon_density__abs0.349371, zfp_abs__0.3493710, 0.09976, 0.09976, 0.000261999, 125.041, 207.979, 437.229, 16.88
zfp_baryon_density__abs0.42655, zfp_abs__0.4265500, 0.09976, 0.09976, 0.000261999, 125.041, 208.112, 439.981, 16.88
zfp_baryon_density__abs0.474902, zfp_abs__0.4749020, 0.09976, 0.09976, 0.000261999, 125.041, 208.755, 438.142, 16.88
zfp_baryon_density__abs0.507291, zfp_abs__0.5072910, 0.192959, 0.184935, 0.000931543, 119.532, 231.055, 509.1, 23.688
zfp_baryon_density__abs0.553213, zfp_abs__0.5532130, 0.192959, 0.184935, 0.000931543, 119.532, 231.17, 514.106, 23.688
zfp_baryon_density__abs1.1748, zfp_abs__1.1748000, 0.727242, 0.727242, 0.00331615, 114.017, 258.703, 591.3, 33.5106
zfp_baryon_density__abs1.7233, zfp_abs__1.7233000, 0.727242, 0.727242, 0.00331615, 114.017, 258.372, 590.385, 33.5106
zfp_baryon_density__abs2.0978, zfp_abs__2.0978000, 1.47758, 1.47758, 0.0119483, 108.451, 214.553, 688.585, 47.1028
zfp_baryon_density__abs2.7091, zfp_abs__2.7091000, 1.47758, 1.47758, 0.0119483, 108.451, 227.343, 684.472, 47.1028
zfp_baryon_density__abs3.3248, zfp_abs__3.3248000, 1.47758, 1.47758, 0.0119483, 108.451, 291.417, 680.286, 47.1028
zfp_baryon_density__abs3.6894, zfp_abs__3.6894000, 1.47758, 1.47758, 0.0119483, 108.451, 291.393, 683.833, 47.1028
zfp_baryon_density__abs4.1368, zfp_abs__4.1368000, 2.94574, 2.94574, 0.0431417, 102.875, 251.097, 768.963, 64.683
zfp_baryon_density__abs4.5293, zfp_abs__4.5293000, 2.94574, 2.94574, 0.0431417, 102.875, 330.083, 770.77, 64.683
zfp_baryon_density__abs5.4078, zfp_abs__5.4078000, 2.94574, 2.94574, 0.0431417, 102.875, 329.108, 775.156, 64.683
zfp_baryon_density__abs9.1921, zfp_abs__9.1921000, 5.91681, 3.23696, 0.144117, 97.6365, 376.226, 858.641, 85.7497
zfp_baryon_density__abs15.469, zfp_abs__15.469000, 5.91681, 3.23696, 0.144117, 97.6365, 375.517, 861.556, 85.7497
zfp_baryon_density__abs18.885, zfp_abs__18.885000, 11.7539, 5.12755, 0.4154, 93.039, 432.622, 919.143, 109.608
zfp_baryon_density__abs23.109, zfp_abs__23.109000, 11.7539, 5.12755, 0.4154, 93.039, 431.785, 925.722, 109.608
zfp_baryon_density__abs24.373, zfp_abs__24.373000, 11.7539, 5.12755, 0.4154, 93.039, 432.041, 919.42, 109.608
zfp_baryon_density__abs32.886, zfp_abs__32.886000, 23.596, 10.4163, 1.06491, 88.9505, 504.365, 977.314, 139.666
zfp_baryon_density__abs34.953, zfp_abs__34.953000, 23.596, 10.4163, 1.06491, 88.9505, 505.397, 980.418, 139.666
zfp_baryon_density__abs43.364, zfp_abs__43.364000, 23.596, 10.4163, 1.06491, 88.9505, 505.132, 977.262, 139.666
zfp_baryon_density__abs47.293, zfp_abs__47.293000, 23.596, 10.4163, 1.06491, 88.9505, 505.753, 978.347, 139.666
zfp_baryon_density__abs82.96, zfp_abs__82.960000, 23.2201, 23.2201, 2.34161, 85.5285, 621.239, 1114.29, 200.285
zfp_baryon_density__abs188, zfp_abs__188.00000, 42.891, 39.0798, 4.33522, 82.8535, 850.07, 1339.02, 352.03
zfp_baryon_density__abs144.84, zfp_abs__144.84000, 42.891, 39.0798, 4.33522, 82.8535, 783.718, 1338.69, 352.03
zfp_baryon_density__abs162.57, zfp_abs__162.57000, 42.891, 39.0798, 4.33522, 82.8535, 845.347, 1351.81, 352.03
zfp_baryon_density__abs205.12, zfp_abs__205.12000, 42.891, 39.0798, 4.33522, 82.8535, 850.504, 1341.57, 352.03
zfp_baryon_density__abs277.87, zfp_abs__277.87000, 85.5795, 73.4909, 7.20153, 80.6494, 1152.2, 1658.48, 655.091
zfp_baryon_density__abs302.79, zfp_abs__302.79000, 85.5795, 73.4909, 7.20153, 80.6494, 1148.96, 1647.53, 655.091
zfp_baryon_density__abs321.16, zfp_abs__321.16000, 85.5795, 73.4909, 7.20153, 80.6494, 1149.41, 1669.37, 655.091
