Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_dark_matter_density__abs0.0117196, zfp_abs__0.0117196, 0.00330532, 0.00328058, 3.3304e-07, 139.507, 148.786, 213.505, 3.05459
zfp_dark_matter_density__abs0.0223937, zfp_abs__0.0223937, 0.00620353, 0.00620353, 1.3321e-06, 133.486, 155.929, 225.082, 3.37693
zfp_dark_matter_density__abs0.0354572, zfp_abs__0.0354572, 0.0127915, 0.0127915, 5.32862e-06, 127.465, 162.686, 240.726, 3.77535
zfp_dark_matter_density__abs0.0430357, zfp_abs__0.0430357, 0.0127915, 0.0127915, 5.32862e-06, 127.465, 163.003, 241.931, 3.77535
zfp_dark_matter_density__abs0.0597188, zfp_abs__0.0597188, 0.0127915, 0.0127915, 5.32862e-06, 127.465, 163.108, 241.773, 3.77535
zfp_dark_matter_density__abs0.0650566, zfp_abs__0.0650566, 0.0253186, 0.0253186, 2.13126e-05, 121.445, 170.957, 259.57, 4.28035
zfp_dark_matter_density__abs0.0720114, zfp_abs__0.0720114, 0.0253186, 0.0253186, 2.13126e-05, 121.445, 171.368, 258.233, 4.28035
zfp_dark_matter_density__abs0.0919673, zfp_abs__0.0919673, 0.0253186, 0.0253186, 2.13126e-05, 121.445, 170.803, 259.167, 4.28035
zfp_dark_matter_density__abs0.0941055, zfp_abs__0.0941055, 0.0253186, 0.0253186, 2.13126e-05, 121.445, 171.1, 257.615, 4.28035
zfp_dark_matter_density__abs0.116476, zfp_abs__0.1164760, 0.0253186, 0.0253186, 2.13126e-05, 121.445, 170.764, 257.968, 4.28035
zfp_dark_matter_density__abs0.207773, zfp_abs__0.2077730, 0.0516888, 0.0516888, 8.52501e-05, 115.425, 180.518, 279.302, 4.94139
zfp_dark_matter_density__abs0.308419, zfp_abs__0.3084190, 0.101283, 0.0998738, 0.000340945, 109.405, 163.271, 301.789, 5.84426
zfp_dark_matter_density__abs0.433559, zfp_abs__0.4335590, 0.101283, 0.0998738, 0.000340945, 109.405, 190.597, 303.144, 5.84426
zfp_dark_matter_density__abs0.538927, zfp_abs__0.5389270, 0.20354, 0.20354, 0.00135915, 103.399, 203.552, 334.01, 7.15215
zfp_dark_matter_density__abs0.684265, zfp_abs__0.6842650, 0.20354, 0.20354, 0.00135915, 103.399, 166.337, 331.636, 7.15215
zfp_dark_matter_density__abs0.79692, zfp_abs__0.7969200, 0.20354, 0.20354, 0.00135915, 103.399, 203.497, 330.89, 7.15215
zfp_dark_matter_density__abs0.861911, zfp_abs__0.8619110, 0.20354, 0.20354, 0.00135915, 103.399, 203.837, 330.647, 7.15215
zfp_dark_matter_density__abs1.10087, zfp_abs__1.1008700, 0.42906, 0.42906, 0.00530024, 97.4885, 187.33, 370.896, 9.21391
zfp_dark_matter_density__abs1.08296, zfp_abs__1.0829600, 0.42906, 0.42906, 0.00530024, 97.4885, 219.142, 369.377, 9.21391
zfp_dark_matter_density__abs2.20074, zfp_abs__2.2007400, 0.809174, 0.807761, 0.0194164, 91.8498, 240.669, 426.251, 12.8836
zfp_dark_matter_density__abs3.00351, zfp_abs__3.0035100, 0.809174, 0.807761, 0.0194164, 91.8498, 241.382, 424.704, 12.8836
zfp_dark_matter_density__abs3.88695, zfp_abs__3.8869500, 0.809174, 0.807761, 0.0194164, 91.8498, 240.486, 429.345, 12.8836
zfp_dark_matter_density__abs5.26882, zfp_abs__5.2688200, 2.9746, 2.9746, 0.0660073, 86.5355, 273.739, 528.208, 20.5089
zfp_dark_matter_density__abs6.28486, zfp_abs__6.2848600, 2.9746, 2.9746, 0.0660073, 86.5355, 273.359, 518.874, 20.5089
zfp_dark_matter_density__abs6.65728, zfp_abs__6.6572800, 2.9746, 2.9746, 0.0660073, 86.5355, 272.607, 523.478, 20.5089
zfp_dark_matter_density__abs8.30412, zfp_abs__8.3041200, 3.25728, 3.12557, 0.216814, 81.3706, 320.438, 653.613, 36.9767
zfp_dark_matter_density__abs8.84143, zfp_abs__8.8414300, 3.25728, 3.12557, 0.216814, 81.3706, 320.459, 652.367, 36.9767
zfp_dark_matter_density__abs10.273, zfp_abs__10.273000, 3.25728, 3.12557, 0.216814, 81.3706, 320.417, 652.388, 36.9767
zfp_dark_matter_density__abs20.5992, zfp_abs__20.599200, 6.38184, 5.78141, 0.635323, 76.7015, 374.883, 782.767, 62.6482
zfp_dark_matter_density__abs29.2395, zfp_abs__29.239500, 6.38184, 5.78141, 0.635323, 76.7015, 296.494, 781.177, 62.6482
zfp_dark_matter_density__abs35.809, zfp_abs__35.809000, 13.6071, 12.3934, 1.66841, 72.5084, 438.213, 868.38, 94.3749
zfp_dark_matter_density__abs47.224, zfp_abs__47.224000, 13.6071, 12.3934, 1.66841, 72.5084, 438.525, 866.644, 94.3749
zfp_dark_matter_density__abs57.3609, zfp_abs__57.360900, 13.6071, 12.3934, 1.66841, 72.5084, 438.812, 876.965, 94.3749
zfp_dark_matter_density__abs58.77, zfp_abs__58.770000, 13.6071, 12.3934, 1.66841, 72.5084, 330.477, 878.861, 94.3749
zfp_dark_matter_density__abs67.2536, zfp_abs__67.253600, 42.2413, 23.7654, 3.93722, 68.7796, 519.67, 958.155, 132.924
zfp_dark_matter_density__abs80.3423, zfp_abs__80.342300, 42.2413, 23.7654, 3.93722, 68.7796, 518.945, 966.796, 132.924
