Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_velocity_x__abs62, zfp_abs__62.00000, 13.75, 5.96542, 5.60009, 142.061, 104.256, 162.767, 2.20608
zfp_velocity_x__abs133.5, zfp_abs__133.5000, 51.5, 18.0525, 89.4031, 130.029, 110.773, 179.371, 2.5589
zfp_velocity_x__abs214, zfp_abs__214.0000, 51.5, 18.0525, 89.4031, 130.029, 110.483, 179.454, 2.5589
zfp_velocity_x__abs246.75, zfp_abs__246.7500, 51.5, 18.0525, 89.4031, 130.029, 110.725, 179.116, 2.5589
zfp_velocity_x__abs302, zfp_abs__302.0000, 102.5, 53.7412, 357.61, 124.009, 114.065, 188.131, 2.78131
zfp_velocity_x__abs384.75, zfp_abs__384.7500, 102.5, 53.7412, 357.61, 124.009, 114.561, 188.216, 2.78131
zfp_velocity_x__abs432.5, zfp_abs__432.5000, 102.5, 53.7412, 357.61, 124.009, 114.442, 188.743, 2.78131
zfp_velocity_x__abs489.25, zfp_abs__489.2500, 102.5, 53.7412, 357.61, 124.009, 114.685, 188.152, 2.78131
zfp_velocity_x__abs582.875, zfp_abs__582.8750, 220, 92.72, 1430.33, 117.988, 118.562, 197.625, 3.04606
zfp_velocity_x__abs619, zfp_abs__619.0000, 220, 92.72, 1430.33, 117.988, 118.524, 198.464, 3.04606
zfp_velocity_x__abs1336.5, zfp_abs__1336.500, 424, 180.27, 5721.6, 111.967, 117.234, 210.018, 3.36652
zfp_velocity_x__abs1723.5, zfp_abs__1723.500, 424, 180.27, 5721.6, 111.967, 122.529, 210.646, 3.36652
zfp_velocity_x__abs2463, zfp_abs__2463.000, 836.5, 400.02, 22886.3, 105.947, 126.504, 223.229, 3.76234
zfp_velocity_x__abs3002, zfp_abs__3002.000, 836.5, 400.02, 22886.3, 105.947, 127.232, 223.562, 3.76234
zfp_velocity_x__abs4117.2, zfp_abs__4117.200, 1648.75, 868.009, 91544.4, 99.9263, 131.419, 235.847, 4.26369
zfp_velocity_x__abs4079.2, zfp_abs__4079.200, 836.5, 400.02, 22886.3, 105.947, 126.853, 220.259, 3.76234
zfp_velocity_x__abs4566.7, zfp_abs__4566.700, 1648.75, 868.009, 91544.4, 99.9263, 115.303, 236.972, 4.26369
zfp_velocity_x__abs5759, zfp_abs__5759.000, 1648.75, 868.009, 91544.4, 99.9263, 132.428, 227.47, 4.26369
zfp_velocity_x__abs6169.75, zfp_abs__6169.750, 1648.75, 868.009, 91544.4, 99.9263, 113.605, 224.959, 4.26369
zfp_velocity_x__abs11771.8, zfp_abs__11771.80, 3341.5, 1686.65, 366202, 93.9054, 138.068, 234.2, 4.91946
zfp_velocity_x__abs20659, zfp_abs__20659.00, 6637.5, 2324.19, 1.46353e+06, 87.8886, 144.214, 244.049, 5.81446
zfp_velocity_x__abs30918.1, zfp_abs__30918.10, 6637.5, 2324.19, 1.46353e+06, 87.8886, 143.979, 244.597, 5.81446
zfp_velocity_x__abs30487.8, zfp_abs__30487.80, 6637.5, 2324.19, 1.46353e+06, 87.8886, 143.631, 244.462, 5.81446
zfp_velocity_x__abs38379.6, zfp_abs__38379.60, 13340.4, 5459.01, 5.81382e+06, 81.898, 151.566, 266.091, 7.10746
zfp_velocity_x__abs43741, zfp_abs__43741.00, 13340.4, 5459.01, 5.81382e+06, 81.898, 152.033, 266.543, 7.10746
zfp_velocity_x__abs51916.5, zfp_abs__51916.50, 13340.4, 5459.01, 5.81382e+06, 81.898, 151.999, 266.61, 7.10746
zfp_velocity_x__abs51812.5, zfp_abs__51812.50, 13340.4, 5459.01, 5.81382e+06, 81.898, 151.899, 266.25, 7.10746
zfp_velocity_x__abs59622.8, zfp_abs__59622.80, 13340.4, 5459.01, 5.81382e+06, 81.898, 152.027, 266.263, 7.10746
zfp_velocity_x__abs123050, zfp_abs__123050.0, 28335, 12260.5, 2.25986e+07, 76.0018, 162.578, 295.489, 9.11222
zfp_velocity_x__abs190752, zfp_abs__190752.0, 54688.7, 20895.4, 8.39796e+07, 70.3009, 176.506, 336.046, 12.4474
zfp_velocity_x__abs251960, zfp_abs__251960.0, 54688.7, 20895.4, 8.39796e+07, 70.3009, 176.213, 336.384, 12.4474
zfp_velocity_x__abs333220, zfp_abs__333220.0, 100018, 44010.4, 2.96146e+08, 64.8275, 194.161, 402.895, 18.1972
zfp_velocity_x__abs353371, zfp_abs__353371.0, 100018, 44010.4, 2.96146e+08, 64.8275, 193.035, 394.38, 18.1972
zfp_velocity_x__abs419870, zfp_abs__419870.0, 100018, 44010.4, 2.96146e+08, 64.8275, 193.425, 393.351, 18.1972
zfp_velocity_x__abs441956, zfp_abs__441956.0, 100018, 44010.4, 2.96146e+08, 64.8275, 187.653, 394.31, 18.1972
zfp_velocity_x__abs484265, zfp_abs__484265.0, 100018, 44010.4, 2.96146e+08, 64.8275, 189.9, 393.916, 18.1972
